Name,Type,Total,Grass,Plastic,Mud,Wood,Stone,StoneMortar,Metal,BurntBrick,Concrete,Other
District - Karbi Anglong,Total,"239,095","185,463","1,133","13,937","3,397","1,522","2,044",536,"22,285","4,915","3,863"
District - Karbi Anglong,Rural,"206,090","167,046","1,011","12,858","2,912",967,592,378,"14,542","2,395","3,389"
District - Karbi Anglong,Urban,"33,005","18,417",122,"1,079",485,555,"1,452",158,"7,743","2,520",474
District - Dima Hasao,Total,"54,378","37,202",669,982,"1,421","1,005",712,"1,216","8,791","1,665",715
District - Dima Hasao,Rural,"35,292","29,458",373,451,411,201,198,318,"2,806",693,383
District - Dima Hasao,Urban,"19,086","7,744",296,531,"1,010",804,514,898,"5,985",972,332
District - Cachar,Total,"424,685","231,628","4,328","34,569","10,789","7,779","9,541","2,494","114,395","6,464","2,698"
District - Cachar,Rural,"340,159","204,971","3,618","31,745","8,937","4,281","3,893","1,165","77,791","2,049","1,709"
District - Cachar,Urban,"84,526","26,657",710,"2,824","1,852","3,498","5,648","1,329","36,604","4,415",989
District - Karimganj,Total,"288,455","148,041","2,319","24,885","5,579","3,243","6,151","1,300","93,566","2,044","1,327"
District - Karimganj,Rural,"257,615","140,745","2,074","24,134","5,079","2,514","3,203",724,"76,781","1,204","1,157"
District - Karimganj,Urban,"30,840","7,296",245,751,500,729,"2,948",576,"16,785",840,170
District - Hailakandi,Total,"172,484","100,618","1,692","11,017","7,905","1,253","1,906",541,"44,420",504,"2,628"
District - Hailakandi,Rural,"157,197","96,645","1,608","10,735","7,447",959,"1,250",334,"35,420",380,"2,419"
District - Hailakandi,Urban,"15,287","3,973",84,282,458,294,656,207,"9,000",124,209
District - Bongaigaon,Total,"211,659","144,197","1,550","4,202","3,248","1,560","5,360","3,137","35,922","9,663","2,820"
District - Bongaigaon,Rural,"176,877","135,766","1,287","3,590","2,601",889,"2,939","2,276","20,593","4,535","2,401"
District - Bongaigaon,Urban,"34,782","8,431",263,612,647,671,"2,421",861,"15,329","5,128",419
District - Chirang,Total,"137,215","100,193","1,575","5,482","4,461","1,104","1,670","1,195","14,652","3,421","3,462"
District - Chirang,Rural,"126,241","95,915","1,412","5,306","4,116",990,"1,309",604,"10,086","3,152","3,351"
District - Chirang,Urban,"10,974","4,278",163,176,345,114,361,591,"4,566",269,111
District - Kamrup,Total,"421,214","256,519","2,084","11,755","20,416","3,308","6,781","7,241","94,387","15,126","3,597"
District - Kamrup,Rural,"379,960","243,762","1,700","10,070","17,510","2,610","5,523","7,076","76,631","11,749","3,329"
District - Kamrup,Urban,"41,254","12,757",384,"1,685","2,906",698,"1,258",165,"17,756","3,377",268
District - Kamrup Metropolitan,Total,"385,104","101,373","2,438","7,471","5,121","5,595","17,044","2,811","187,690","53,735","1,826"
District - Kamrup Metropolitan,Rural,"57,617","32,818",508,"2,558","1,332",373,652,146,"16,400","2,104",726
District - Kamrup Metropolitan,Urban,"327,487","68,555","1,930","4,913","3,789","5,222","16,392","2,665","171,290","51,631","1,100"
District - Nalbari,Total,"232,724","154,999",990,"2,986","3,606","1,094","2,017","1,256","44,503","20,133","1,140"
District - Nalbari,Rural,"206,049","145,200",902,"2,559","3,151",991,"1,945","1,143","35,352","13,702","1,104"
District - Nalbari,Urban,"26,675","9,799",88,427,455,103,72,113,"9,151","6,431",36
District - Baksa,Total,"288,713","242,692","2,612","4,403","4,380","1,001","2,341",694,"20,856","4,844","4,890"
District - Baksa,Rural,"285,270","240,765","2,585","4,378","4,288",925,"2,217",610,"19,907","4,706","4,889"
District - Baksa,Urban,"3,443","1,927",27,25,92,76,124,84,949,138,1
District - Darrang,Total,"282,204","214,280","1,770","3,123","5,422","1,243","1,941",986,"44,195","6,664","2,580"
District - Darrang,Rural,"263,482","207,830","1,402","2,839","5,017","1,040","1,650",609,"35,764","4,819","2,512"
District - Darrang,Urban,"18,722","6,450",368,284,405,203,291,377,"8,431","1,845",68
District - Udalguri,Total,"272,877","200,557","1,794","6,400","3,816","1,337","2,574",691,"45,906","5,910","3,892"
District - Udalguri,Rural,"260,083","195,624","1,700","6,232","3,508",941,"1,906",556,"41,603","4,155","3,858"
